,title,artist,top_genre,year,added,bpm,nrgy,dB,live,val,dur,acous,spch,pop
236,HONEY (ARE U COMING?),Måneskin,indie rock italiano,2023,2024‑02‑02,140,94,-2,18,39,167,0,8,76
237,Spotless (feat. The Lumineers),Zach Bryan,classic oklahoma country,2023,2024‑02‑02,72,44,-8,8,17,169,41,7,83
238,Loving You,Cannons,chillwave,2023,2024‑02‑02,111,74,-6,8,68,195,4,6,60
239,Nothing Matters,The Last Dinner Party,,2023,2024‑02‑02,101,80,-5,18,60,182,3,4,80
240,blindspot,Charlotte Sands,alt z,2024,2024‑02‑02,165,75,-3,54,38,208,2,4,47
241,MARRY KILL F*CK//,KennyHoopla,pop punk,2023,2024‑02‑02,98,82,-4,5,52,169,0,5,56
242,Love To Walk Away,The Vaccines,british indie rock,2023,2024‑02‑02,80,86,-4,10,49,127,1,4,57
243,I Got Heaven,Mannequin Pussy,bubblegrunge,2023,2024‑02‑02,127,93,-7,37,35,179,1,9,59
244,Gift Horse,IDLES,bristol indie,2024,2024‑02‑02,143,84,-6,10,37,250,0,6,65
245,Maktub,Gary Clark Jr.,electric blues,2024,2024‑02‑02,120,95,-4,38,41,253,1,13,56
246,What Now,Brittany Howard,black americana,2023,2024‑02‑02,100,94,-5,10,66,227,15,9,55
247,Do It Faster,Militarie Gun,5th wave emo,2023,2024‑02‑02,142,97,-3,10,54,108,1,20,55
248,Salt,Teen Jesus and the Jean Teasers,canberra indie,2023,2024‑02‑02,160,55,-5,12,25,187,4,3,53
249,Pull Me Through,Royal Blood,brighton indie,2023,2024‑02‑02,132,93,-5,9,30,189,13,9,62
250,The Falling Sky,Greta Van Fleet,modern blues rock,2023,2024‑02‑02,91,92,-3,12,39,219,0,5,53
251,By The Time You're Reading This,YONAKA,brighton indie,2023,2024‑02‑02,139,91,-3,9,73,191,1,9,56
252,Paper Machete,Queens of the Stone Age,alternative metal,2023,2024‑02‑02,132,92,-5,12,55,203,0,6,63
253,Your Side of Town,The Killers,alternative rock,2023,2024‑02‑02,113,87,-6,12,54,188,3,7,58
254,Hollywood Baby,100 gecs,bubblegum bass,2023,2024‑02‑02,77,93,1,30,56,188,6,8,65
255,Normal People Things,Lovejoy,pixel,2023,2024‑02‑02,180,99,-3,25,42,165,0,12,72
256,ballad of a homeschooled girl,Olivia Rodrigo,pop,2023,2024‑02‑02,120,87,-3,35,47,203,6,7,80
257,thoughts i have while lying in bed,The Maine,neon pop punk,2023,2024‑02‑02,144,86,-7,10,50,220,3,4,60
258,We Need More Bricks,Neck Deep,pop punk,2024,2024‑02‑02,178,98,-3,32,59,229,0,8,61
259,Caffeine,Jack Kays,cincinnati rap,2023,2024‑02‑02,156,79,-7,38,79,185,1,7,64
260,hostage,Maggie Lindemann,alt z,2024,2024‑02‑02,102,90,-5,8,63,164,8,10,64
261,When The Devil Speaks…,ThxSoMch,bedroom r&b,2023,2024‑02‑02,172,92,-7,13,54,182,0,4,65
262,Too Close / Too Late,Spiritbox,canadian metalcore,2023,2024‑02‑02,152,96,-5,14,22,281,0,17,63
263,Neon Pill,Cage The Elephant,modern alternative rock,2024,2024‑02‑02,120,88,-6,14,84,201,0,4,71
264,Atomic City,U2,irish rock,2023,2024‑02‑02,140,90,-6,10,68,211,0,4,68
265,Everything I Do Is For You,Amira Elfeky,,2023,2024‑02‑02,148,74,-5,12,30,156,0,5,59
266,The Glass,Foo Fighters,alternative metal,2023,2024‑02‑02,146,74,-4,14,23,230,0,3,63
267,Stuck,Thirty Seconds To Mars,modern rock,2023,2024‑02‑02,123,76,-5,30,54,183,4,6,67
268,Already Over,Mike Shinoda,alternative hip hop,2023,2024‑02‑02,150,94,-4,30,75,161,0,5,71
269,Shadow (I'm Breaking Down),Destroy Boys,oakland indie,2023,2024‑02‑02,156,95,-5,14,53,218,0,9,61
270,When We Die (Can We Still Get High?) (feat. Lil Yachty),YUNGBLUD,british indie rock,2024,2024‑02‑02,80,76,-3,18,18,300,0,3,68
271,Running Out Of Time,Paramore,candy pop,2023,2024‑02‑02,127,53,-9,7,55,192,4,4,68
272,Modern Girl,Bleachers,indie pop,2023,2024‑02‑02,150,82,-7,12,89,223,5,6,69
273,Overcome,Nothing But Thieves,alternative pop rock,2023,2024‑02‑02,164,88,-5,39,34,215,0,6,70
274,Landmines,Sum 41,alternative metal,2023,2024‑02‑02,172,93,-5,5,74,176,0,7,67
275,Pretty Vicious,The Struts,glam rock,2023,2024‑02‑02,142,89,-4,8,55,310,0,4,54
276,The Matrix,Mother Mother,pov: indie,2023,2024‑02‑02,154,84,-6,67,54,202,0,5,61
277,Beautiful People (Stay High),The Black Keys,alternative rock,2024,2024‑02‑02,95,85,-2,26,61,167,19,5,71
278,Run Away With Me,Cold War Kids,indie rock,2023,2024‑02‑02,107,79,-4,33,63,193,0,3,58
279,Blame Brett,The Beaches,toronto indie,2023,2024‑02‑02,156,87,-3,34,79,176,1,4,68
280,ONE MORE TIME,blink-182,alternative metal,2023,2024‑02‑02,115,50,-6,11,16,208,11,3,71
281,alright (feat. The Kid LAROI),EKKSTACY,australian hip hop,2024,2024‑02‑02,177,72,-5,14,46,130,0,4,68
282,THE DEATH OF PEACE OF MIND,Bad Omens,american metalcore,2022,2024‑02‑02,155,71,-6,13,27,241,9,5,79
283,Dead To Me,Palaye Royale,modern alternative rock,2023,2024‑02‑02,170,88,-6,11,35,229,0,8,62
284,Kool-Aid,Bring Me The Horizon,melodic metalcore,2024,2024‑02‑02,149,95,-3,62,24,228,0,24,81
285,Mess It Up,The Rolling Stones,album rock,2023,2024‑02‑02,123,98,-3,8,77,244,0,5,66
286,Running In Circles,Dead Poet Society,boston indie,2024,2024‑02‑02,142,84,-3,37,64,233,0,6,53
287,Dilemma,Green Day,modern rock,2024,2024‑02‑02,120,89,-3,21,67,198,0,6,70
288,So Much (For) Stardust - Edit,Fall Out Boy,emo,2024,2024‑02‑02,178,79,-5,70,51,232,0,5,49
289,HONEY (ARE U COMING?),Måneskin,indie rock italiano,2023,2024‑02‑02,140,94,-2,16,38,167,0,8,69
290,Nothing Matters,The Last Dinner Party,,2024,2024‑02‑02,101,78,-5,11,61,183,4,4,21
291,You & Me,JENNIE,k-pop,2023,2024‑02‑02,112,57,-6,9,57,179,1,6,80
292,GODS,League of Legends,speedrun,2023,2024‑02‑02,146,77,-6,20,49,221,1,5,85
293,Aphrodite,Sam Short,alt z,2024,2024‑02‑02,108,62,-5,50,39,144,1,5,63
294,Lovesick,Laufey,gen z singer-songwriter,2023,2024‑02‑02,105,37,-10,11,34,225,66,3,74
295,Comfortable,Victor Ray,,2024,2024‑02‑02,76,41,-6,10,32,229,45,7,74
296,Stuck In The Middle,BABYMONSTER,,2024,2024‑02‑02,120,33,-9,8,33,246,88,3,64
297,J CHRIST,Lil Nas X,lgbtq+ hip hop,2024,2024‑02‑02,150,61,-6,45,89,154,6,9,84
298,"Fire! (feat. YUQI ((G)I-DLE), JVKE)",Alan Walker,electro house,2023,2024‑02‑02,125,70,-6,8,38,138,6,5,79
299,making the bed,Olivia Rodrigo,pop,2023,2024‑02‑02,133,41,-8,12,23,199,35,3,81
300,Eras Of Us,FLETCHER,alt z,2023,2024‑02‑02,130,59,-8,15,10,169,10,7,71
301,PUPPET SHOW,XG,k-pop girl group,2023,2024‑02‑02,150,61,-6,21,72,200,8,14,73
302,LALALALA,Stray Kids,k-pop,2023,2024‑02‑02,126,85,-3,65,61,182,6,5,86
303,Mosquito,PinkPantheress,bedroom pop,2023,2024‑02‑02,163,90,-4,19,56,146,9,12,65
304,club heaven,Nessa Barrett,alt z,2023,2024‑02‑02,96,64,-6,8,37,132,8,21,69
305,I GOT YOU,TWICE,k-pop,2024,2024‑02‑02,176,81,-4,9,50,173,5,6,72
306,(Trust Me Now) I'm Fine,ROZES,alt z,2024,2024‑02‑02,118,74,-7,36,54,197,5,5,57
307,Touchy Feely Fool,AJR,pov: indie,2023,2024‑02‑02,76,76,-5,33,61,215,13,14,69
308,Wild Ones (feat. Jelly Roll),Jessie Murph,modern country pop,2023,2024‑02‑02,136,69,-4,17,29,143,9,4,85
309,You Could Start A Cult (with Lizzy McAlpine),Niall Horan,pop,2023,2024‑02‑02,83,23,-10,12,32,195,92,3,66
310,Lilly,LOVA,swedish pop,2024,2024‑02‑02,83,40,-8,26,23,190,41,3,57
311,Strong Enough (feat. Bailey Zimmerman),Jonas Brothers,boy band,2023,2024‑02‑02,126,82,-5,5,65,149,21,6,75
312,THE LINE (feat. d4vd),The Kid LAROI,australian hip hop,2023,2024‑02‑02,92,35,-10,31,69,152,83,5,67
313,UNTOUCHABLE,ITZY,k-pop,2024,2024‑02‑02,105,90,-3,8,67,194,22,13,80
314,Agora Hills,Doja Cat,dance pop,2023,2024‑02‑02,123,67,-6,12,39,265,23,10,92
315,Drama,aespa,k-pop girl group,2023,2024‑02‑02,131,87,-2,36,38,215,16,4,88
316,One Of Your Girls,Troye Sivan,australian pop,2023,2024‑02‑02,93,66,-8,22,81,181,9,7,65
317,Only In My Mind,Kenya Grace,singer-songwriter pop,2023,2024‑02‑02,143,76,-10,11,42,161,70,11,72
318,Memory Lane,Zara Larsson,pop,2023,2024‑02‑02,96,66,-5,14,53,192,49,6,71
319,Lovesick,Jenna Raine,alt z,2024,2024‑02‑02,152,73,-6,19,70,152,28,7,58
320,face to face,kenzie,social media pop,2024,2024‑02‑02,155,67,-6,8,70,170,13,3,58
321,Killing Me,Conan Gray,bedroom pop,2023,2024‑02‑02,138,67,-6,45,71,205,2,4,72
322,he never will,Alexander Stewart,singer-songwriter pop,2023,2024‑02‑02,130,76,-5,11,53,171,12,5,69
323,Can’t Catch Me Now - from The Hunger Games: The Ballad of Songbirds & Snakes,Olivia Rodrigo,pop,2023,2024‑02‑02,142,37,-8,12,23,205,84,3,87
324,AMERICAN HORROR SHOW,SNOW WIFE,,2023,2024‑02‑02,162,76,-5,70,30,149,4,9,74
325,Don't Like Anybody,Bella Poarch,modern alternative pop,2024,2024‑02‑02,147,65,-5,5,73,131,2,8,25
326,In The City,Charli XCX,art pop,2023,2024‑02‑02,128,75,-5,7,65,176,3,4,76
327,Paris,Kenya Grace,singer-songwriter pop,2023,2024‑02‑02,145,77,-8,9,79,181,26,25,67
328,Commas,Ayra Starr,afrobeats,2024,2024‑02‑02,100,59,-7,55,71,157,2,4,34
329,ur special to me,Artemas,,2024,2024‑02‑02,172,84,-7,27,24,114,0,4,61
330,When We Were Young (The Logical Song),David Guetta,big room,2023,2024‑02‑02,140,91,-5,11,50,147,5,5,87
331,Those Eyes (feat. Zeph),New West,toronto indie,2024,2024‑02‑02,120,36,-8,26,24,245,72,3,64
332,Memories,Dean Lewis,australian pop,2024,2024‑02‑02,129,39,-7,12,41,180,80,4,54
333,A Night To Remember,beabadoobee,bedroom pop,2023,2024‑02‑02,115,62,-8,9,57,233,50,3,80
334,Don't Need to Sleep,John Legend,neo soul,2023,2024‑02‑02,123,63,-6,34,19,189,30,4,60
335,Nice to meet you (feat. Central Cee),PinkPantheress,bedroom pop,2023,2024‑02‑02,148,78,-7,6,55,162,3,5,75
336,hard enough to stay alive,Arden Jones,singer-songwriter pop,2024,2024‑02‑02,94,97,-2,12,41,153,0,17,62
337,Deep In Your Love,Alok,electro house,2024,2024‑02‑02,130,84,-6,6,56,145,1,4,80
338,Perfect Night,LE SSERAFIM,k-pop girl group,2023,2024‑02‑02,136,82,-5,6,50,159,10,3,91
339,Angels in Tibet,Amaarae,afro r&b,2023,2024‑02‑02,140,68,-6,14,54,143,24,13,80
340,Passionate,AJ Mitchell,alt z,2023,2024‑02‑02,99,51,-8,36,37,163,4,5,58
341,On My Mama,Victoria Monét,alternative r&b,2023,2024‑02‑02,153,54,-8,12,62,187,55,11,74
342,Everybody (feat. Lil Uzi Vert),Nicki Minaj,hip pop,2023,2024‑02‑02,138,77,-6,23,39,181,3,26,88
343,High,Stephen Sanchez,gen z singer-songwriter,2023,2024‑02‑02,176,68,-8,27,40,162,10,4,85
344,Pick Me,Alec Benjamin,alt z,2024,2024‑02‑02,104,49,-9,12,48,179,80,5,69
345,Hungry Heart,Declan J Donovan,indie anthem-folk,2024,2024‑02‑02,132,74,-5,17,76,140,6,4,61
346,Behind,Myles Smith,singer-songwriter pop,2023,2024‑02‑02,122,79,-8,26,52,199,16,4,69
347,Strangers,Lewis Capaldi,pop,2024,2024‑02‑02,114,45,-4,7,25,214,51,5,78
348,White Glove,Dove Cameron,pop,2023,2024‑02‑02,178,69,-5,32,48,150,2,4,66
349,"Everywhere, Everything (with Gracie Abrams)",Noah Kahan,pov: indie,2023,2024‑02‑02,180,36,-10,13,31,258,57,3,81
350,711,Emei,alt z,2023,2024‑02‑02,124,62,-8,10,74,149,13,5,59
351,Scared To Start,Michael Marcagi,,2024,2024‑02‑02,148,55,-11,40,44,160,38,3,85
352,run for the hills,Tate McRae,alt z,2023,2024‑02‑02,130,83,-4,12,23,144,54,9,86
353,Truth or Dare,Tyla,,2023,2024‑02‑02,154,60,-6,9,81,190,18,34,79
354,this is what winter feels like,JVKE,modern indie pop,2024,2024‑02‑02,115,51,-6,38,36,195,65,6,75
355,The Things I Do For Love,bludnymph,,2024,2024‑02‑02,136,76,-4,45,77,161,22,11,62
356,Ultraviolet,Aidan Bissett,gen z singer-songwriter,2023,2024‑02‑02,95,79,-6,6,52,206,1,3,59
357,exes,Tate McRae,alt z,2023,2024‑02‑02,137,57,-7,11,61,159,17,6,90
358,Say Cheese,Paul Russell,indie r&b,2024,2024‑02‑02,105,73,-3,33,80,153,9,7,63
359,older,Isabel LaRosa,dark r&b,2023,2024‑02‑02,68,51,-7,9,42,138,8,3,84
360,jesus christ in a mini skirt,Meg Smith,,2024,2024‑02‑02,106,81,-6,11,11,181,0,4,60
361,Clarity,24kGoldn,cali rap,2024,2024‑02‑02,151,82,-5,14,55,138,29,25,31
362,Skin and Bones,David Kushner,gen z singer-songwriter,2024,2024‑02‑02,117,46,-10,15,17,215,65,4,86
363,How Much Longer?,Alexander 23,alt z,2024,2024‑02‑02,158,45,-8,12,36,244,43,3,59
364,"he loves me, he loves me not",Jessica Baio,singer-songwriter pop,2024,2024‑02‑02,180,67,-7,54,37,158,2,25,73
365,Dreaming,Tones And I,australian pop,2024,2024‑02‑02,90,61,-7,21,33,208,19,14,26
366,History Of Man,Maisie Peters,alt z,2023,2024‑02‑02,125,54,-6,11,29,208,61,7,73
367,DARLING DRIVE,METTE,future bass,2024,2024‑02‑02,117,84,-6,11,53,199,3,47,67
368,Not My Fault (with Megan Thee Stallion),Reneé Rapp,alt z,2024,2024‑02‑02,124,79,-6,38,87,171,11,18,79
369,Lead Me On,FLETCHER,alt z,2024,2024‑02‑02,148,94,-5,12,31,174,1,9,70
370,Loving You Will Be The Death Of Me,Tom Odell,chill pop,2024,2024‑02‑02,180,33,-10,18,33,132,74,12,69
371,Call Me Yours,Lillian Hepler,alt z,2024,2024‑02‑02,74,30,-8,12,13,152,34,10,53
372,Where Do We Go Now? (Music from Lil Nas X: Long Live Montero),Lil Nas X,lgbtq+ hip hop,2024,2024‑02‑02,142,56,-7,18,12,195,8,4,71
373,Homesick (with Sam Fender),Noah Kahan,pov: indie,2024,2024‑02‑02,170,63,-6,34,39,194,3,4,83
374,The Door,Teddy Swims,,2023,2024‑02‑02,128,86,-5,12,76,213,2,5,78
375,Selfish,Justin Timberlake,dance pop,2024,2024‑02‑02,88,54,-7,9,38,229,7,4,82
376,Igual Que Un Ángel (with Peso Pluma),Kali Uchis,colombian pop,2024,2024‑02‑02,108,61,-5,18,46,260,0,3,95
377,Beautiful Things,Benson Boone,singer-songwriter pop,2024,2024‑02‑02,105,47,-6,14,22,180,15,6,92
378,Whatever,Kygo,edm,2024,2024‑02‑02,108,78,-6,33,60,178,11,7,87
379,if u think i'm pretty,Artemas,,2023,2024‑02‑02,144,58,-6,56,40,114,53,5,85
380,Feel This Moment (feat. Christina Aguilera),Pitbull,dance pop,2012,2024‑02‑02,136,76,-4,34,54,230,4,16,82
381,Don't Let Me Down,The Chainsmokers,pop,2016,2024‑02‑02,160,87,-5,14,42,208,16,17,82
382,Wannabe,Spice Girls,dance pop,1996,2024‑02‑02,110,86,-6,16,89,173,10,3,84
383,Shut Up and Dance,WALK THE MOON,dance rock,2014,2024‑02‑02,128,87,-4,26,62,199,1,6,86
384,"Give Me Everything (feat. Ne-Yo, Afrojack & Nayer)",Pitbull,dance pop,2011,2024‑02‑02,129,94,-3,30,53,252,19,16,86
385,Wake Me Up,Avicii,dance pop,2013,2024‑02‑02,124,78,-6,16,64,247,0,5,89
386,Take on Me,a-ha,new romantic,1985,2024‑02‑02,84,90,-8,9,88,225,2,5,90
387,Locked out of Heaven,Bruno Mars,dance pop,2012,2024‑02‑02,144,70,-4,31,87,233,5,4,92
388,Got My Mind Set on You,George Harrison,album rock,1987,2024‑02‑02,149,85,-7,49,96,235,46,4,77
389,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,pop,2016,2024‑02‑02,102,76,-4,18,74,251,41,5,77
390,Party Rock Anthem,LMFAO,dance pop,2011,2024‑02‑02,130,74,-4,27,35,262,2,16,77
391,Everytime We Touch,Cascada,eurodance,2010,2024‑02‑02,142,98,-5,38,49,197,0,5,77
392,"Boom, Boom, Boom, Boom!!",Vengaboys,bubblegum dance,1999,2024‑02‑02,138,95,-5,3,97,203,1,4,77
393,Hot N Cold,Katy Perry,pop,2008,2024‑02‑02,132,84,-4,7,86,220,0,4,77
394,Under Control (feat. Hurts),Calvin Harris,dance pop,2014,2024‑02‑02,126,92,-3,12,51,184,13,8,78
395,4 Minutes (feat. Justin Timberlake & Timbaland),Madonna,dance pop,2009,2024‑02‑02,113,93,-5,23,77,190,1,7,78
396,Livin' la Vida Loca,Ricky Martin,latin pop,1999,2024‑02‑02,178,95,-4,6,93,243,0,5,78
397,Call on Me - Radio Mix,Eric Prydz,edm,2004,2024‑02‑02,126,84,-7,84,45,171,0,38,78
398,Latch,Disclosure,edm,2013,2024‑02‑02,122,73,-5,9,52,256,2,17,78
399,Don't Stop 'Til You Get Enough,Michael Jackson,r&b,1979,2024‑02‑02,119,82,-10,18,95,365,13,9,78
400,"December, 1963 (Oh What a Night!)",Frankie Valli & The Four Seasons,adult standards,1975,2024‑02‑02,104,50,-13,5,97,197,6,3,78
401,Summertime Sadness (Lana Del Rey Vs. Cedric Gervais) - Cedric Gervais Remix,Lana Del Rey,art pop,2013,2024‑02‑02,126,81,-6,13,11,215,2,6,78
402,Kiss,Prince,funk,1986,2024‑02‑02,111,27,-12,5,74,226,1,9,78
403,You're The One That I Want - From “Grease”,John Travolta,hollywood,2023,2024‑02‑02,214,79,-6,17,84,169,31,17,78
404,Infinity 2008 - Klaas Vocal Edit,Guru Josh Project,acid house,2008,2024‑02‑02,128,86,-6,35,47,192,0,6,78
405,Let's Groove,"Earth, Wind & Fire",disco,1981,2024‑02‑02,125,65,-9,13,90,339,12,6,79
406,L'Amour Toujours,Gigi D'Agostino,eurodance,2001,2024‑02‑02,139,88,-4,36,74,242,8,3,78
407,Blurred Lines,Robin Thicke,dance pop,2013,2024‑02‑02,120,60,-5,8,84,264,0,4,79
408,Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song] (feat. Freshlyground),Shakira,colombian pop,2023,2024‑02‑02,127,91,-4,15,62,202,0,25,79
409,Destination Calabria - Radio Edit,Alex Gaudino,disco house,2007,2024‑02‑02,128,95,-5,29,31,223,0,4,79
410,Blue (Da Ba Dee) - Gabry Ponte Ice Pop Radio,Eiffel 65,eurodance,1999,2024‑02‑02,128,97,-11,39,77,284,26,6,79
411,Give It To Me,Timbaland,dance pop,2007,2024‑02‑02,111,71,-4,8,82,234,17,6,79
412,Boogie Wonderland,"Earth, Wind & Fire",disco,1979,2024‑02‑02,132,76,-11,5,96,288,8,3,79
413,Good Time,Owl City,indietronica,2012,2024‑02‑02,126,87,-4,37,68,206,2,14,79
414,All That She Wants,Ace of Base,eurodance,1993,2024‑02‑02,94,63,-10,10,86,211,1,5,79
415,Come On Eileen,Dexys Midnight Runners,new romantic,1982,2024‑02‑02,107,66,-7,26,78,287,66,5,79
416,Take A Chance On Me,ABBA,europop,1977,2024‑02‑02,107,68,-8,24,92,244,16,3,79
417,Return of the Mack,Mark Morrison,british soul,1996,2024‑02‑02,95,83,-5,16,61,213,1,11,79
418,Everybody (Backstreet's Back) - Radio Edit,Backstreet Boys,boy band,1997,2024‑02‑02,108,85,-4,27,61,225,4,4,80
419,One More Time,Daft Punk,electro,2001,2024‑02‑02,123,70,-9,33,48,320,2,13,80
420,Mambo No. 5 (a Little Bit of...),Lou Bega,latin pop,1999,2024‑02‑02,174,81,-7,31,89,220,10,41,80
421,The Final Countdown,Europe,album rock,1986,2024‑02‑02,118,84,-7,6,19,310,6,6,80
422,Stayin' Alive,Bee Gees,disco,1979,2024‑02‑02,104,83,-7,18,95,285,3,3,80
423,Barbie Girl,Aqua,bubblegum dance,1997,2024‑02‑02,130,88,-11,37,96,198,2,4,80
424,Don't You Want Me,The Human League,new romantic,1981,2024‑02‑02,118,74,-8,21,96,237,18,4,80
425,This Girl (Kungs Vs. Cookin' On 3 Burners),Kungs,edm,2016,2024‑02‑02,122,72,-5,23,47,196,9,4,80
426,You Can't Hurry Love - 2016 Remaster,Phil Collins,rock drums,1982,2024‑02‑02,98,94,-5,7,76,176,3,3,80
427,Con Calma,Daddy Yankee,latin hip hop,2019,2024‑02‑02,94,86,-3,6,66,193,11,6,80
428,9 to 5,Dolly Parton,classic country pop,1980,2024‑02‑02,105,78,-6,63,81,162,42,5,80
429,Flashdance...What a Feeling - Radio Edit,Irene Cara,disco,1983,2024‑02‑02,122,65,-7,9,40,237,1,3,81
430,I Want You Back,The Jackson 5,motown,1969,2024‑02‑02,197,54,-14,37,89,176,31,6,81
431,"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,dance pop,2016,2024‑02‑02,113,83,-6,19,70,236,1,8,81
432,No Diggity,Blackstreet,boy band,1996,2024‑02‑02,89,65,-5,28,67,305,30,29,81
433,Blame (feat. John Newman),Calvin Harris,dance pop,2014,2024‑02‑02,128,86,-4,34,35,213,3,8,81
434,Stayin' Alive,Bee Gees,disco,1977,2024‑02‑02,104,54,-20,9,64,93,11,4,81
435,Jump - 2015 Remaster,Van Halen,album rock,1984,2024‑02‑02,130,84,-6,7,80,242,17,3,81
436,"Freed From Desire - prod. Molella, Phil Jay",Gala,eurodance,1997,2024‑02‑02,129,86,-4,10,64,213,59,5,81
437,Glad You Came,The Wanted,boy band,2011,2024‑02‑02,127,85,-4,11,45,198,3,6,81
438,Sugar (feat. Francesco Yates),Robin Schulz,deep euro house,2015,2024‑02‑02,123,82,-5,16,64,219,2,6,81
439,I Love Rock 'N Roll,Joan Jett & the Blackhearts,glam punk,1981,2024‑02‑02,94,72,-5,66,90,175,33,4,81
440,Good Feeling,Flo Rida,dance pop,2012,2024‑02‑02,128,89,-4,31,68,248,6,7,81
441,Starships,Nicki Minaj,hip pop,2012,2024‑02‑02,125,72,-2,25,75,211,14,8,81
442,Mamma Mia,ABBA,europop,1975,2024‑02‑02,138,75,-7,47,83,213,30,3,81
443,Believe,Cher,dance pop,1998,2024‑02‑02,133,92,-7,5,46,239,1,5,81
444,International Love (feat. Chris Brown),Pitbull,dance pop,2011,2024‑02‑02,120,86,-3,34,65,227,1,5,81
445,We Found Love,Rihanna,barbadian pop,2011,2024‑02‑02,128,77,-4,11,60,215,3,4,82
446,Cheerleader (Felix Jaehn Remix) - Radio Edit,OMI,reggae fusion,2015,2024‑02‑02,118,69,-6,16,60,181,17,3,82
447,Hey Brother,Avicii,dance pop,2013,2024‑02‑02,125,78,-5,8,46,255,3,4,82
448,Scream & Shout,will.i.am,dance pop,2013,2024‑02‑02,130,69,-7,13,50,283,2,7,82
449,Walking On Sunshine,Katrina & The Waves,new wave pop,1985,2024‑02‑02,110,87,-12,7,94,239,1,4,82
450,On The Floor,Jennifer Lopez,dance pop,2011,2024‑02‑02,130,78,-5,7,57,285,11,5,82
451,Wild Ones (feat. Sia),Flo Rida,dance pop,2012,2024‑02‑02,127,86,-5,26,44,233,10,6,83
452,Get Lucky (Radio Edit) [feat. Pharrell Williams and Nile Rodgers],Daft Punk,electro,2013,2024‑02‑02,116,81,-9,10,86,248,4,4,83
453,Can't Hold Us (feat. Ray Dalton),Macklemore & Ryan Lewis,pop rap,2012,2024‑02‑02,146,92,-4,9,85,258,3,8,83
454,Wake Me Up Before You Go-Go,Wham!,new romantic,1984,2024‑02‑02,82,57,-12,6,90,231,27,4,83
455,"Happy - From ""Despicable Me 2""",Pharrell Williams,dance pop,2014,2024‑02‑02,160,82,-5,9,96,233,22,18,83
456,Don't Go Breaking My Heart,Elton John,glam rock,1975,2024‑02‑02,131,84,-9,6,78,275,15,3,83
457,...Baby One More Time,Britney Spears,dance pop,1999,2024‑02‑02,93,70,-6,44,91,211,20,3,83
458,24K Magic,Bruno Mars,dance pop,2016,2024‑02‑02,107,80,-4,15,63,226,3,8,83
459,Billie Jean,Michael Jackson,r&b,2008,2024‑02‑02,117,65,-3,4,85,294,2,4,84
460,Levels - Radio Edit,Avicii,dance pop,2011,2024‑02‑02,126,89,-6,31,46,200,5,3,84
461,Girls Just Want to Have Fun,Cyndi Lauper,dance pop,1983,2024‑02‑02,120,80,-5,35,73,238,22,3,84
462,No Lie,Sean Paul,dance pop,2018,2024‑02‑02,102,88,-3,21,46,221,5,12,84
463,Gimme! Gimme! Gimme! (A Man After Midnight),ABBA,europop,1979,2024‑02‑02,120,49,-10,16,54,293,2,4,84
464,Tainted Love,Soft Cell,new romantic,1981,2024‑02‑02,144,50,-8,26,62,154,46,4,84
465,Waiting For Love,Avicii,dance pop,2015,2024‑02‑02,128,74,-4,20,61,231,31,5,84
466,Summer,Calvin Harris,dance pop,2014,2024‑02‑02,128,86,-4,14,74,223,2,3,84
467,Titanium (feat. Sia),David Guetta,big room,2012,2024‑02‑02,126,79,-4,13,30,245,7,10,84
468,Shake It Off,Taylor Swift,pop,2014,2024‑02‑02,160,80,-5,33,94,219,6,17,84
469,Time of Our Lives,Pitbull,dance pop,2014,2024‑02‑02,124,80,-6,69,72,229,9,6,85
470,Don't You Worry Child - Radio Edit,Swedish House Mafia,edm,2012,2024‑02‑02,129,84,-3,12,44,213,11,5,85
471,I Wanna Dance with Somebody (Who Loves Me),Whitney Houston,dance pop,1987,2024‑02‑02,119,82,-9,9,87,291,21,5,85
472,Call Me Maybe,Carly Rae Jepsen,canadian pop,2012,2024‑02‑02,120,58,-7,11,66,193,1,4,85
473,Timber (feat. Ke$ha),Pitbull,dance pop,2012,2024‑02‑02,130,96,-4,14,79,204,3,10,85
474,Summer Of '69,Bryan Adams,canadian pop,1984,2024‑02‑02,139,83,-6,7,77,216,2,4,85
475,Outside (feat. Ellie Goulding),Calvin Harris,dance pop,2014,2024‑02‑02,128,82,-4,32,42,227,21,4,86
476,This Is What You Came For,Calvin Harris,dance pop,2016,2024‑02‑02,124,93,-3,15,47,222,20,3,86
477,Uptown Funk (feat. Bruno Mars),Mark Ronson,pop soul,2015,2024‑02‑02,115,61,-7,3,93,270,1,8,86
478,Toxic,Britney Spears,dance pop,2003,2024‑02‑02,143,84,-4,24,92,199,2,11,86
479,Sweet Dreams (Are Made of This) - Remastered,Eurythmics,dance rock,1983,2024‑02‑02,125,71,-7,12,88,217,23,3,86
480,Ni**as In Paris,JAY-Z,east coast hip hop,2011,2024‑02‑02,140,86,-6,35,78,219,13,31,86
481,The Nights,Avicii,dance pop,2014,2024‑02‑02,126,84,-5,25,65,177,2,4,88
482,Dancing Queen,ABBA,europop,1976,2024‑02‑02,101,87,-7,79,75,230,36,4,88
